TYPE   "CR"      1    1    1    1    0
TYPE   "C=C"     2    2    2    1    0
TYPE   "C=O"     3    3    3    1    0
TYPE   "CSP"     4    4    4    1    0
TYPE   "HC"      5    5    5    5    0
TYPE   "OR"      6    6    6    6    0
TYPE   "O=C"     7    7    7    6    0
TYPE   "NR"      8    8    8    8    0
TYPE   "N=C"     9    9    9    8    0
TYPE   "NC=O"   10   10   10    8    0
TYPE   "F"      11   11   11   11    0
TYPE   "CL"     12   12   12   12    0
TYPE   "BR"     13   13   13   13    0
TYPE   "I"      14   14   14   14    0
TYPE   "S"      15   15   15   15    0
TYPE   "S=C"    16   16   16   15    0
TYPE   "S=O"    17   17   17   15    0
TYPE   "SO2"    18   18   18   15    0
TYPE   "SI"     19   19   19   19    0
TYPE   "CR4R"   20   20    1    1    0
TYPE   "HOR"    21   21   21    5    0
TYPE   "CR3R"   22   22   22    1    0
TYPE   "HNR"    23   23   23    5    0
TYPE   "HOCO"   24   24   24    5    0
TYPE   "PO4"    25   25   25   25    0
TYPE   "P"      26   26   26   25    0
TYPE   "HN=C"   27   27   28    5    0
TYPE   "HNCO"   28   28   28    5    0
TYPE   "HOCC"   29   29   29    5    0
TYPE   "CE4R"   30   30    2    1    0
TYPE   "HOH"    31   31   31   31    0
TYPE   "O2CM"   32   32    7    6    0
TYPE   "HOS"    33   33   21    5    0
TYPE   "NR+"    34   34    8    8    0
TYPE   "OM"     35   35    6    6    0
TYPE   "HNR+"   36   36   36    5    0
TYPE   "CB"     37   37    2    1    0
TYPE   "NPYD"   38   38    9    8    0
TYPE   "NPYL"   39   39   10    8    0
TYPE   "NC=C"   40   40   10    8    0
TYPE   "CO2M"   41   41    3    1    0
TYPE   "NSP"    42   42   42    8    0
TYPE   "NSO2"   43   43   10    8    0
TYPE   "STHI"   44   44   16   15    0
TYPE   "NO2"    45   45   10    8    0
TYPE   "N=O"    46   46    9    8    0
TYPE   "NAZT"   47   47   42    8    0
TYPE   "NSO"    48   48    9    8    0
TYPE   "O+"     49   49    6    6    0
TYPE   "HO+"    50   50   21    5    0
TYPE   "O=+"    51   51    7    6    0
TYPE   "HO=+"   52   52   21    5    0
TYPE   "=N="    53   53   42    8    0
TYPE   "N+=C"   54   54    9    8    0
TYPE   "NCN+"   55   55   10    8    0
TYPE   "NGD+"   56   56   10    8    0
TYPE   "CGD+"   57   57    2    1    0
TYPE   "NPD+"   58   58   10    8    0
TYPE   "OFUR"   59   59    6    6    0
TYPE   "C%"     60   60    4    1    0
TYPE   "NR%"    61   61   42    8    0
TYPE   "NM"     62   62   10    8    0
TYPE   "C5A"    63   63    2    1    0
TYPE   "C5B"    64   64    2    1    0
TYPE   "N5A"    65   65    9    8    0
TYPE   "N5B"    66   66    9    8    0
TYPE   "N2OX"   67   67    9    8    0
TYPE   "N3OX"   68   68    8    8    0
TYPE   "NPOX"   69   69    9    8    0
TYPE   "OH2"    70   70   70   70   70
TYPE   "HS"     71   71    5    5    0
TYPE   "S2CM"   72   72   16   15    0
TYPE   "SO2M"   73   73   18   15    0
TYPE   "=S=O"   74   74   17   15    0
TYPE   "-P=C"   75   75   26   25    0
TYPE   "N5M"    76   76    9    8    0
TYPE   "CLO4"   77   77   12   12    0
TYPE   "C5"     78   78    2    1    0
TYPE   "N5"     79   79    9    8    0
TYPE   "CIM+"   80   80    2    1    0
TYPE   "NIM+"   81   81   10    8    0
TYPE   "N5AX"   82   82    9    8    0
TYPE   "FE+2"   87   87   87   87   87
TYPE   "FE+3"   88   88   88   88   88
TYPE   "F-"     89   89   89   89   89
TYPE   "CL-"    90   90   90   90   90
TYPE   "BR-"    91   91   91   91   91
TYPE   "LI+"    92   92   92   92   92
TYPE   "NA+"    93   93   93   93   93
TYPE   "K+"     94   94   94   94   94
TYPE   "ZN+2"   95   95   95   95   95
TYPE   "CA+2"   96   96   96   96   96
TYPE   "CU+1"   97   97   97   97   97
TYPE   "CU+2"   98   98   98   98   98
TYPE   "MG+2"   99   99   99   99   99
       

